id,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,low_qual_fin_sf,gr_liv_area,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,yr_sold,sale_type,saleprice,tot_baths,tot_sf,bsmt_fin_sf,bsmt_pct_fin
109,RL,68.0,13517,IR1,Lvl,CulDSac,Gtl,Sawyer,1Fam,2Story,6,8,1976,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,192.0,725.0,GasA,Ex,Y,0,1479,3,1,Gd,6,Typ,0,no value,Attchd,RFn,475.0,TA,TA,Y,0,44,0,0,0,2010,WD ,130500,2.5,2204.0,533.0,73.51724137931035
544,RL,43.0,11492,IR1,Lvl,CulDSac,Gtl,SawyerW,1Fam,2Story,7,5,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,276.0,913.0,GasA,Ex,Y,0,2122,4,1,Gd,8,Typ,1,TA,Attchd,RFn,559.0,TA,TA,Y,0,74,0,0,0,2009,WD ,220000,3.5,3035.0,637.0,69.76998904709748
153,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326.0,1057.0,GasA,TA,Y,0,1057,3,1,Gd,5,Typ,0,no value,Detchd,Unf,246.0,TA,TA,Y,0,52,0,0,0,2010,WD ,109000,2.0,2114.0,731.0,69.15799432355723
318,RL,73.0,9802,Reg,Lvl,Inside,Gtl,Timber,1Fam,2Story,5,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,384.0,384.0,GasA,Gd,Y,0,1444,3,1,TA,7,Typ,0,no value,BuiltIn,Fin,400.0,TA,TA,Y,100,0,0,0,0,2010,WD ,174000,2.5,1828.0,0.0,0.0
255,RL,82.0,14235,IR1,Lvl,Inside,Gtl,SawyerW,1Fam,1.5Fin,6,8,1900,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,Unf,676.0,676.0,GasA,TA,Y,0,1445,3,1,TA,6,Typ,0,no value,Detchd,Unf,484.0,TA,TA,N,0,59,0,0,0,2010,WD ,138500,2.0,2121.0,0.0,0.0
138,RL,137.0,16492,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,557.0,1517.0,GasA,Ex,Y,0,1888,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,578.0,TA,TA,Y,0,0,0,0,0,2010,WD ,190000,2.5,3405.0,960.0,63.282794990112066
2827,RM,35.0,3675,Reg,Lvl,Inside,Gtl,Edwards,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,0.0,547.0,GasA,Gd,Y,0,1072,2,1,TA,5,Typ,0,no value,Basment,Fin,525.0,TA,TA,Y,0,44,0,0,0,2006,New,140000,3.0,1619.0,547.0,100.0
145,RL,68.0,12160,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,188.0,1188.0,GasA,Fa,Y,0,1188,3,1,TA,6,Typ,0,no value,Attchd,RFn,531.0,TA,TA,Y,0,0,0,0,0,2010,COD,142000,2.0,2376.0,1000.0,84.17508417508417
1942,RL,68.0,15783,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,632.0,924.0,GasA,TA,Y,0,924,2,1,TA,6,Typ,0,no value,Detchd,Unf,420.0,TA,TA,Y,0,324,0,0,0,2007,WD ,112500,1.0,1848.0,292.0,31.601731601731597
1956,RL,70.0,11606,IR1,HLS,Inside,Sev,NAmes,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,Unf,390.0,1040.0,GasA,TA,Y,0,2080,5,1,Fa,9,Typ,2,TA,Attchd,Unf,504.0,TA,TA,Y,335,0,0,0,0,2007,WD ,135000,2.5,3120.0,650.0,62.5
1044,RM,21.0,1680,Reg,Lvl,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,96.0,483.0,GasA,TA,Y,0,987,2,1,TA,4,Typ,0,no value,Detchd,Unf,264.0,TA,TA,Y,0,0,0,0,0,2008,COD,85400,1.5,1470.0,387.0,80.12422360248448
2752,RL,64.0,7488,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,815.0,1208.0,GasA,Ex,Y,0,1208,2,1,Gd,6,Typ,0,no value,Attchd,RFn,632.0,TA,TA,Y,105,58,0,0,0,2006,WD ,183600,2.0,2416.0,393.0,32.533112582781456
807,RL,120.0,26400,Reg,Bnk,FR2,Gtl,SawyerW,1Fam,2Story,5,7,1880,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,no value,no value,no value,no value,no value,0.0,0.0,GasA,Ex,Y,0,2016,4,1,TA,7,Mod,1,TA,Attchd,Unf,576.0,TA,TA,P,0,0,0,0,0,2009,WD ,131000,1.0,2016.0,0.0,0.0
1177,FV,24.0,2645,Reg,Lvl,Inside,Gtl,Somerst,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,147.0,960.0,GasA,Ex,Y,0,1607,3,1,Gd,7,Typ,0,no value,Detchd,Unf,480.0,TA,TA,Y,169,0,0,0,0,2008,ConLD,200000,3.5,2567.0,813.0,84.6875
1480,RL,74.0,9627,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1327.0,1351.0,GasA,Ex,Y,0,1361,3,1,Gd,6,Typ,0,no value,Attchd,RFn,610.0,TA,TA,Y,0,50,0,0,0,2008,WD ,193000,2.0,2712.0,24.0,1.77646188008882
324,RL,93.0,10114,Reg,Lvl,Inside,Gtl,Mitchel,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,1430.0,GasA,Ex,Y,0,1430,3,1,Gd,7,Typ,0,no value,Attchd,RFn,624.0,TA,TA,Y,0,0,0,0,0,2010,WD ,173500,2.0,2860.0,0.0,0.0
1311,RM,34.0,4571,Reg,Lvl,Inside,Gtl,OldTown,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,624.0,GasA,Fa,N,0,1344,4,1,TA,7,Typ,0,no value,Detchd,Unf,513.0,Fa,Fa,Y,0,0,96,0,0,2008,COD,98000,1.0,1968.0,0.0,0.0
770,RL,80.0,8816,Reg,Lvl,Corner,Gtl,Sawyer,1Fam,1Story,5,6,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,Unf,470.0,1121.0,GasA,TA,Y,0,1121,3,1,TA,5,Typ,0,no value,Detchd,Unf,480.0,TA,TA,Y,0,80,0,0,0,2009,WD ,139000,2.0,2242.0,651.0,58.07314897413024
2063,RL,71.0,8197,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,660.0,GasA,Ex,Y,0,1285,3,1,TA,7,Typ,1,TA,Attchd,RFn,528.0,TA,TA,Y,138,0,0,0,0,2007,WD ,143500,1.5,1945.0,0.0,0.0
69,FV,72.0,8640,Reg,Lvl,Inside,Gtl,Somerst,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,732.0,756.0,GasA,Ex,Y,0,1547,3,1,Gd,7,Typ,0,no value,Attchd,Unf,614.0,TA,TA,Y,169,45,0,0,0,2010,Con,215200,2.5,2303.0,24.0,3.1746031746031744
2062,RL,109.0,8724,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,402.0,894.0,GasA,Gd,Y,0,894,3,1,TA,5,Typ,1,Po,Attchd,Fin,450.0,TA,TA,Y,0,0,0,0,0,2007,WD ,129000,1.0,1788.0,492.0,55.033557046979865
351,RL,40.0,5664,IR1,Lvl,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,343.0,1501.0,GasA,Ex,Y,0,1659,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,499.0,TA,TA,Y,212,59,0,0,0,2009,WD ,278000,3.0,3160.0,1158.0,77.14856762158561
2393,RL,103.0,12867,IR1,Lvl,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,1209.0,GasA,Ex,Y,0,2253,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,575.0,TA,TA,Y,243,142,0,0,0,2006,New,344133,2.5,3462.0,0.0,0.0
12,RL,68.0,7980,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,1Story,6,7,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,233.0,1168.0,GasA,Ex,Y,0,1187,3,1,TA,6,Typ,0,no value,Attchd,Fin,420.0,TA,TA,Y,483,21,0,0,0,2010,WD ,185000,3.0,2355.0,935.0,80.0513698630137
2339,RL,100.0,34650,Reg,Bnk,Inside,Gtl,Gilbert,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,0.0,1056.0,GasA,TA,N,0,1056,3,1,TA,5,Typ,0,no value,Attchd,Fin,572.0,TA,TA,Y,264,0,0,0,0,2006,WD ,145000,2.0,2112.0,1056.0,100.0
624,RL,92.0,10573,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,6,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,141.0,1453.0,GasA,Ex,Y,0,1453,3,1,TA,6,Typ,1,TA,Attchd,RFn,530.0,TA,TA,Y,0,49,0,0,288,2009,WD ,187500,3.0,2906.0,1312.0,90.29593943565037
86,RL,65.0,8450,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,224.0,894.0,GasA,Ex,Y,0,894,3,1,TA,5,Typ,1,Gd,Detchd,Unf,336.0,TA,TA,Y,416,144,0,0,0,2010,WD ,138500,2.0,1788.0,670.0,74.9440715883669
1534,RL,68.0,11700,IR1,HLS,Inside,Mod,Crawfor,1Fam,1.5Fin,5,6,1937,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,336.0,942.0,GasA,Ex,Y,0,1938,4,1,Gd,7,Min2,1,Gd,Detchd,Unf,240.0,TA,TA,Y,0,40,0,0,0,2008,WD ,198000,2.0,2880.0,606.0,64.33121019108282
2243,C (all),75.0,8250,Reg,Lvl,Inside,Gtl,IDOTRR,2fmCon,2Story,5,6,1895,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,957.0,GasA,Fa,N,0,1991,4,2,TA,9,Typ,0,no value,no value,no value,0.0,no value,no value,N,0,0,133,0,0,2007,WD ,119600,2.0,2948.0,0.0,0.0
1957,RL,60.0,8064,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1.5Fin,5,7,1949,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,672.0,GasA,Ex,Y,0,924,3,1,TA,6,Typ,1,Po,Detchd,Unf,576.0,TA,TA,Y,0,0,0,0,0,2007,WD ,122900,1.0,1596.0,0.0,0.0
380,RL,80.0,9600,Reg,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,8,5,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1420.0,2524.0,GasA,TA,Y,0,2524,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,542.0,TA,TA,Y,474,120,0,0,0,2009,WD ,278000,3.5,5048.0,1104.0,43.74009508716323
2860,RL,68.0,11435,IR1,HLS,Corner,Mod,Crawfor,1Fam,2Story,8,7,1929,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,792.0,GasA,Fa,Y,0,1517,3,1,Gd,7,Typ,2,Gd,Detchd,Unf,400.0,TA,TA,Y,0,0,0,0,0,2006,WD ,230000,1.0,2309.0,0.0,0.0
2517,RL,30.0,9549,IR1,Lvl,CulDSac,Gtl,Veenker,TwnhsE,1Story,8,5,1995,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,0.0,1494.0,GasA,Ex,Y,0,1494,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,481.0,TA,TA,Y,0,30,0,0,216,2006,WD ,270000,2.5,2988.0,1494.0,100.0
1933,RL,60.0,10950,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,6,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,507.0,948.0,GasA,TA,Y,0,948,2,1,TA,5,Typ,0,no value,Detchd,Unf,410.0,TA,TA,N,0,48,0,0,0,2007,WD ,125000,1.0,1896.0,441.0,46.51898734177215
820,RL,79.0,10637,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,417.0,1705.0,GasA,Ex,Y,0,1718,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,826.0,TA,TA,Y,208,44,0,0,0,2009,WD ,297000,3.0,3423.0,1288.0,75.54252199413489
675,RL,80.0,9000,IR1,HLS,Inside,Mod,NAmes,1Fam,1Story,6,6,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,160.0,GasA,Fa,Y,0,1142,2,1,TA,5,Typ,1,Gd,Basment,RFn,384.0,TA,TA,Y,0,28,64,0,0,2009,WD ,113500,1.0,1302.0,0.0,0.0
2910,RM,41.0,2665,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,2Story,5,6,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,36.0,757.0,GasA,Ex,Y,0,1475,4,1,TA,6,Typ,1,TA,Attchd,RFn,336.0,TA,TA,Y,104,26,0,0,0,2006,WD ,127000,2.0,2232.0,721.0,95.2443857331572
21,RL,105.0,11751,IR1,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1139.0,1844.0,GasA,Ex,Y,0,1844,3,1,TA,7,Typ,1,TA,Attchd,RFn,546.0,TA,TA,Y,0,122,0,0,0,2010,COD,190000,2.0,3688.0,705.0,38.232104121475054
1873,RL,80.0,9600,Reg,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,7,6,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,326.0,1242.0,GasA,Fa,Y,0,1242,3,1,TA,6,Typ,1,TA,Attchd,Unf,528.0,TA,TA,Y,0,0,0,0,0,2007,WD ,175500,1.5,2484.0,916.0,73.75201288244766
2125,RL,60.0,8428,IR2,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,570.0,990.0,GasA,Ex,Y,0,990,3,1,TA,5,Typ,0,no value,Detchd,Unf,384.0,TA,TA,Y,256,0,0,0,0,2007,WD ,146000,2.0,1980.0,420.0,42.42424242424242
1489,RL,75.0,9937,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1Story,5,6,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,136.0,1256.0,GasA,Gd,Y,0,1256,3,1,TA,6,Typ,0,no value,Attchd,Fin,276.0,TA,TA,Y,736,68,0,0,0,2008,WD ,147500,2.5,2512.0,1120.0,89.171974522293
2383,RL,107.0,13891,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,10,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,690.0,2076.0,GasA,Ex,Y,0,2076,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,850.0,TA,TA,Y,216,229,0,0,0,2006,New,465000,3.5,4152.0,1386.0,66.76300578034682
983,RL,68.0,9101,IR1,Lvl,Corner,Gtl,Mitchel,1Fam,SFoyer,5,6,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,0.0,1097.0,GasA,Ex,Y,0,1110,1,1,Gd,4,Typ,1,TA,Attchd,Fin,602.0,TA,TA,Y,303,30,0,0,0,2009,WD ,165500,2.0,2207.0,1097.0,100.0
1325,RM,81.0,12150,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,5,5,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,1050.0,GasA,Ex,N,0,1795,4,1,TA,7,Typ,0,no value,Attchd,Unf,352.0,Fa,TA,Y,0,0,0,0,0,2008,WD ,131500,2.0,2845.0,0.0,0.0
1378,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134.0,1040.0,GasA,Ex,Y,0,1040,3,1,TA,5,Typ,0,no value,Detchd,Unf,384.0,TA,TA,Y,0,0,0,0,0,2008,WD ,129500,2.0,2080.0,906.0,87.11538461538461
1537,RL,100.0,9670,IR1,HLS,Inside,Mod,Crawfor,1Fam,2Story,8,6,1935,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,Unf,398.0,608.0,GasA,TA,Y,0,1873,4,1,TA,9,Typ,2,Gd,Detchd,Fin,786.0,Fa,TA,Y,0,0,207,0,0,2008,WD ,257076,1.5,2481.0,210.0,34.539473684210535
905,RL,60.0,10998,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1.5Fin,5,5,1941,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,156.0,984.0,GasA,Ex,Y,0,1604,3,1,TA,6,Min2,0,no value,Detchd,Unf,660.0,TA,TA,Y,0,68,0,0,0,2009,WD ,117000,2.0,2588.0,828.0,84.14634146341463
1532,RL,60.0,7200,Reg,HLS,Inside,Mod,Crawfor,1Fam,2Story,7,6,1931,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,776.0,776.0,GasA,TA,Y,0,1502,3,1,TA,6,Typ,1,Gd,Attchd,RFn,270.0,TA,TA,P,0,0,112,0,0,2008,WD ,149000,1.5,2278.0,0.0,0.0
132,RL,80.0,9920,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,5,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,412.0,1056.0,GasA,TA,Y,0,1063,3,1,TA,6,Typ,0,no value,Attchd,RFn,280.0,TA,TA,Y,0,0,164,0,0,2010,WD ,128000,2.0,2119.0,644.0,60.984848484848484
1078,RL,36.0,2448,Reg,Lvl,Inside,Gtl,NridgHt,Twnhs,2Story,7,5,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,764.0,GasA,Ex,Y,0,1626,2,1,Gd,6,Typ,0,no value,BuiltIn,RFn,474.0,TA,TA,Y,0,27,0,0,0,2008,WD ,155000,2.5,2390.0,0.0,0.0
2511,FV,68.0,2998,Reg,Lvl,Inside,Gtl,Somerst,TwnhsE,2Story,6,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,403.0,756.0,GasA,Ex,Y,0,1524,2,1,Gd,4,Typ,0,no value,Detchd,Unf,440.0,TA,TA,Y,0,32,0,0,0,2006,WD ,166000,2.5,2280.0,353.0,46.6931216931217
912,RL,65.0,7804,Reg,Lvl,Inside,Gtl,SWISU,1Fam,1.5Fin,4,3,1928,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,500.0,1122.0,GasA,TA,Y,0,1981,4,1,Gd,7,Min2,2,TA,Detchd,Unf,576.0,TA,TA,Y,431,44,0,0,0,2009,WD ,135000,3.0,3103.0,622.0,55.4367201426025
2351,RL,80.0,16692,IR1,Lvl,Inside,Gtl,NWAmes,1Fam,2Story,7,5,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,LwQ,133.0,1392.0,GasA,TA,Y,0,2784,5,1,Gd,12,Typ,2,TA,Attchd,RFn,564.0,TA,TA,Y,0,112,0,0,440,2006,WD ,250000,4.5,4176.0,1259.0,90.44540229885058
330,RM,21.0,1476,Reg,Lvl,Inside,Gtl,MeadowV,Twnhs,2Story,4,7,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,370.0,546.0,GasA,Ex,Y,0,1092,3,1,TA,5,Typ,0,no value,no value,no value,0.0,no value,no value,Y,200,26,0,0,0,2010,WD ,76000,1.5,1638.0,176.0,32.234432234432234
2586,RL,75.0,10170,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,6,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,216.0,216.0,GasA,TA,Y,0,1575,2,1,Gd,5,Typ,1,Gd,Attchd,Unf,400.0,TA,TA,Y,0,0,0,0,0,2006,WD ,155000,1.5,1791.0,0.0,0.0
224,RL,80.0,9364,Reg,Lvl,Corner,Gtl,Sawyer,1Fam,2Story,6,7,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,292.0,663.0,GasA,TA,Y,0,1352,4,1,TA,7,Typ,0,no value,Attchd,Fin,299.0,TA,TA,Y,379,36,0,0,0,2010,WD ,158000,1.5,2015.0,371.0,55.957767722473605
98,FV,24.0,2544,Reg,Lvl,Inside,Gtl,Somerst,Twnhs,2Story,7,5,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,190.0,600.0,GasA,Ex,Y,0,1200,2,1,Gd,4,Typ,0,no value,Detchd,RFn,480.0,TA,TA,Y,0,172,0,0,0,2010,WD ,149500,3.5,1800.0,410.0,68.33333333333333
